,V1,V2,V3,V4,V5
51,68.42,80.56,272.7,-10.15,234.72
52,73.11,87.01,269.72,-20.93,243.72
53,67.22,77.98,272.14,-14.19,231.47
54,82.33,68.87,279.24,4.03,254.45
55,98.12,57.04,268.06,13.22,258.57
56,104.12,52.87,275.85,0.0,266.58
57,99.45,64.41,260.01,9.06,260.71
58,99.36,61.92,278.7,2.1,236.38
59,93.33,61.51,265.13,4.82,227.56
60,103.82,48.91,259.84,-2.48,216.78
61,95.22,52.25,248.72,3.9,230.03
62,104.3,48.9,263.92,-15.09,237.47
63,90.08,65.24,261.98,-18.74,239.11
64,92.97,76.04,260.38,-22.54,236.85
65,93.74,92.12,242.09,-19.76,214.93
66,98.05,79.05,246.62,-24.78,228.61
67,85.47,79.64,244.21,-26.72,232.02
68,90.3,80.86,240.45,-27.91,248.47
69,96.09,93.56,233.21,-40.32,237.11
70,92.23,79.31,244.24,-25.27,248.03
71,88.64,84.88,238.33,3.26,246.92
72,100.74,83.93,245.72,-6.11,248.05
73,94.81,86.04,223.95,-29.63,250.77
74,111.32,75.22,233.16,-35.16,226.65
75,104.42,76.61,223.89,-36.59,216.27
76,104.12,64.4,231.64,-30.92,226.93
77,88.82,73.0,219.71,-35.24,239.35
78,110.04,77.93,228.75,-55.91,239.27
79,111.48,64.89,219.47,-53.3,224.48
80,110.14,70.17,217.98,-49.28,233.83
81,102.01,92.02,212.79,-32.82,216.91
82,87.49,100.19,217.07,-37.12,233.25
83,82.13,91.49,201.7,-35.62,229.42
84,77.4,82.88,203.95,-44.22,244.42
85,79.72,85.51,207.12,-38.62,234.92
86,64.77,87.01,212.2,-29.25,227.08
87,72.04,84.03,182.5,-28.89,219.58
88,101.91,68.04,196.06,-36.67,228.62
89,68.12,66.83,194.44,-49.93,233.62
90,68.35,69.56,224.75,-55.29,222.43
91,61.16,73.48,197.17,-61.01,218.26
92,77.77,74.69,198.81,-54.91,248.37
93,70.0,72.29,205.61,-61.28,254.17
94,80.3,72.37,227.03,-69.51,267.38
95,69.91,86.12,210.14,-47.75,251.08
96,74.1,89.81,194.52,-35.54,254.35
97,75.16,98.59,176.64,-42.66,251.22
98,77.22,91.34,187.27,-59.08,254.7
99,70.64,77.05,191.42,-56.33,255.62
100,68.48,63.9,200.96,-64.21,249.63
101,53.39,60.69,169.59,-54.09,230.89
102,56.51,57.37,179.53,-66.15,234.08
103,51.11,49.83,183.88,-79.21,237.94
104,60.75,35.46,186.05,-88.79,244.13
105,39.97,31.21,176.71,-89.7,230.56
106,59.55,36.46,189.92,-87.94,256.1
107,49.77,52.58,197.02,-96.58,254.85
108,66.91,35.34,207.62,-104.88,267.05
109,38.14,41.77,201.12,-94.69,251.95
110,35.02,60.76,205.75,-87.9,271.12
111,33.53,77.24,192.96,-82.02,268.71
112,25.84,57.1,193.57,-89.45,269.82
113,1.33,58.29,180.86,-87.2,257.79
114,-8.83,44.2,184.16,-95.15,257.06
115,-6.72,47.11,154.67,-80.54,244.05
116,-1.98,47.59,170.95,-68.37,236.23
117,-19.47,59.78,179.62,-66.64,231.43
118,-23.13,55.43,182.87,-109.09,225.42
119,-51.31,51.13,161.67,-103.99,210.85
120,-29.62,50.46,174.28,-102.16,221.89
121,-44.82,53.34,165.48,-88.64,219.57
122,-46.16,52.52,154.54,-98.49,231.95
123,-55.74,63.45,157.0,-78.06,213.6
124,-59.94,93.33,152.99,-59.78,213.84
125,-74.28,100.38,154.45,-45.76,213.36
126,-80.48,99.36,166.44,-61.2,233.01
127,-87.59,93.8,166.44,-74.72,224.82
128,-93.86,83.43,152.45,-80.26,222.91
129,-87.78,93.1,136.49,-60.8,207.64
130,-87.03,90.51,157.15,-61.36,207.94
131,-85.32,104.81,154.27,-46.21,208.74
132,-95.08,101.36,150.8,-58.09,206.58
133,-122.57,104.63,136.48,-60.38,202.84
134,-108.58,107.43,133.25,-64.09,212.8
135,-117.99,95.28,117.11,-74.99,219.36
136,-109.54,82.94,127.5,-91.44,234.53
137,-118.99,97.58,135.62,-78.76,225.43
138,-122.95,116.43,139.97,-78.53,221.32
139,-136.41,113.71,125.17,-66.91,223.37
140,-131.37,111.13,126.33,-66.61,231.58
141,-137.05,111.96,118.45,-74.77,220.34
142,-144.81,104.88,141.98,-85.75,224.74
143,-130.42,107.59,128.27,-75.7,227.24
144,-136.22,96.05,146.75,-64.56,224.65
145,-123.47,90.54,141.43,-67.57,211.43
146,-145.72,79.69,152.21,-59.2,211.68
147,-137.73,89.66,145.74,-54.6,210.66
148,-124.03,90.88,154.17,-52.16,218.95
149,-114.34,88.77,143.48,-57.53,227.77
150,-119.44,72.95,138.25,-75.54,223.54
151,-150.35,81.14,134.7,-76.7,210.65
152,-157.24,80.45,145.71,-83.59,224.38
153,-152.82,80.6,139.86,-67.98,242.05
154,-131.74,78.98,119.18,-67.35,249.75
155,-137.06,92.61,108.57,-70.12,228.52
156,-118.22,89.32,121.75,-54.33,233.59
157,-107.86,99.19,108.48,-56.92,223.43
158,-109.71,95.64,97.71,-47.37,249.1
159,-111.18,102.24,95.29,-58.25,244.73
160,-100.61,86.95,109.02,-26.39,249.53
161,-87.84,93.86,84.68,-26.26,249.0
162,-67.39,81.96,101.8,-15.62,255.23
163,-64.04,92.52,104.23,-27.35,259.51
164,-67.02,74.94,120.03,-23.22,258.3
165,-81.55,83.49,102.37,-27.99,260.2
166,-86.5,77.99,103.83,-38.93,273.63
167,-89.81,86.54,84.79,-50.41,288.1
168,-79.17,78.58,84.32,-69.05,306.82
169,-97.22,78.1,88.96,-71.38,303.89
170,-77.81,67.46,90.04,-63.72,286.85
171,-68.77,88.92,96.18,-61.92,282.03
172,-54.78,89.33,98.77,-76.33,287.4
173,-82.35,91.23,103.4,-88.41,265.67
174,-80.08,69.77,83.09,-70.87,275.9
175,-83.45,83.92,81.55,-83.82,286.0
176,-87.66,81.68,95.59,-73.15,296.7
177,-98.75,94.64,94.58,-75.4,304.49
178,-111.38,68.67,73.75,-58.1,297.79
179,-120.75,74.92,70.71,-71.89,289.3
180,-122.72,69.79,58.2,-51.35,283.79
181,-125.84,69.85,41.15,-40.72,298.99
182,-149.51,48.45,50.28,-52.81,309.58
183,-157.64,44.82,60.11,-68.37,307.45
184,-124.83,34.99,77.69,-59.07,307.34
185,-111.85,44.23,67.35,-67.96,290.34
186,-110.86,25.43,71.86,-62.02,288.61
187,-137.14,18.79,59.62,-76.03,280.34
188,-142.96,14.93,78.09,-66.91,303.4
189,-153.51,36.56,81.07,-83.06,302.94
190,-140.58,38.1,96.7,-83.04,308.91
191,-148.91,22.8,84.11,-81.71,328.65
192,-149.84,1.14,78.09,-84.34,320.45
193,-155.28,21.79,62.65,-101.2,319.41
194,-152.5,24.49,52.16,-98.35,315.02
195,-141.2,30.35,47.31,-100.48,309.3
196,-146.06,14.68,34.87,-100.52,309.34
197,-169.59,24.92,32.67,-104.67,322.04
198,-159.37,23.74,45.25,-82.96,348.02
199,-151.54,24.0,32.41,-101.73,339.28
200,-135.98,29.62,25.6,-86.73,330.57
201,-146.48,12.46,-4.24,-96.64,328.49
202,-155.35,-2.88,9.95,-76.88,328.2
203,-163.8,11.45,-14.73,-95.59,318.51
204,-154.71,-3.9,-1.83,-93.67,319.7
205,-156.42,-5.59,-3.24,-102.85,320.73
206,-168.39,-25.17,3.95,-111.46,327.68
207,-186.31,-28.8,-10.4,-111.09,354.1
208,-186.78,-35.3,-25.33,-123.12,379.31
209,-172.24,-20.16,-28.5,-106.2,384.11
210,-149.42,-34.32,-25.97,-97.65,373.86
211,-168.75,-28.01,-38.47,-102.83,390.8
212,-174.85,-40.14,-34.25,-122.85,408.06
213,-158.26,-29.09,-44.46,-131.14,403.19
214,-129.84,-22.96,-35.56,-125.22,399.75
215,-126.14,-4.73,-50.4,-131.01,386.61
216,-134.48,-24.49,-35.2,-141.51,382.36
217,-154.79,-29.95,-53.37,-161.15,367.58
218,-157.18,-40.91,-25.31,-160.23,366.12
219,-140.28,-29.39,-23.36,-184.78,361.08
220,-133.21,-32.33,-9.56,-187.77,373.47
221,-140.53,-47.01,-13.43,-189.06,361.54
222,-146.39,-55.0,-20.12,-189.9,359.89
223,-128.3,-34.46,-32.4,-196.6,352.92
224,-112.41,-27.21,-42.95,-196.96,359.77
225,-113.06,-22.92,-49.44,-203.8,373.23
226,-118.16,-46.99,-52.44,-193.52,373.37
227,-103.73,-43.13,-51.14,-180.39,364.91
228,-80.08,-24.49,-32.97,-155.71,368.49
229,-70.42,-16.8,-64.21,-149.12,371.74
230,-73.87,-9.79,-77.22,-155.76,390.27
231,-96.75,-28.17,-90.81,-171.26,369.7
232,-114.89,-32.47,-57.59,-177.23,367.04
233,-98.02,-16.98,-67.83,-175.99,358.22
234,-92.38,-15.65,-80.49,-170.59,371.49
235,-82.67,-18.85,-63.69,-159.04,361.0
236,-107.22,-27.98,-66.33,-153.61,357.09
237,-94.38,-0.82,-65.36,-178.51,350.28
238,-89.46,1.03,-69.6,-176.48,346.79
239,-68.28,-2.32,-60.88,-176.58,350.24
240,-80.96,-13.22,-65.47,-176.14,351.89
241,-69.03,-2.46,-76.2,-178.36,345.49
242,-64.69,4.77,-62.17,-156.17,349.49
243,-63.6,19.29,-51.33,-146.57,355.36
244,-72.77,1.52,-34.98,-159.0,371.01
245,-73.26,6.7,-58.82,-156.43,362.12
246,-82.06,8.34,-73.86,-148.41,364.06
247,-92.28,5.86,-86.54,-146.28,349.64
248,-99.87,-3.61,-72.0,-158.21,350.49
249,-92.93,-12.12,-70.19,-170.21,333.11
250,-100.6,-17.73,-58.05,-175.94,350.25
251,-95.05,-7.03,-61.46,-159.54,340.84
252,-103.45,-23.85,-64.4,-149.06,331.75
253,-96.86,-15.67,-58.35,-151.38,329.52
254,-108.39,-37.34,-43.32,-160.55,331.45
255,-87.69,-25.27,-52.82,-149.38,324.83
256,-77.42,-36.94,-56.24,-134.98,335.17
257,-72.6,-16.18,-31.32,-125.56,339.57
258,-95.92,-38.0,-6.19,-142.57,346.03
259,-103.95,-27.71,1.57,-142.58,345.69
260,-110.2,-36.14,3.39,-140.2,352.93
261,-117.87,-45.78,-12.71,-118.88,341.75
262,-115.65,-61.24,-22.76,-111.85,357.31
263,-113.07,-63.48,-30.38,-124.67,345.72
264,-125.8,-70.38,-26.12,-142.99,344.25
265,-115.26,-74.46,-6.18,-138.49,323.34
266,-112.93,-81.83,4.49,-120.32,323.77
267,-109.39,-67.52,7.42,-108.32,329.92
268,-124.87,-94.91,-0.22,-109.84,335.11
269,-100.46,-79.67,-8.16,-108.4,316.24
270,-99.06,-91.81,-7.53,-100.3,326.8
271,-94.66,-74.67,4.37,-83.85,307.18
272,-99.7,-109.33,23.0,-85.2,317.5
273,-107.59,-101.06,37.77,-73.38,314.27
274,-120.87,-106.1,42.77,-82.43,320.92
275,-126.39,-117.63,40.79,-75.77,299.76
276,-131.71,-137.96,34.86,-62.11,306.07
277,-132.34,-145.59,22.82,-65.31,300.98
278,-127.0,-149.88,36.0,-68.76,304.78
279,-107.72,-148.32,54.03,-76.58,270.61
280,-119.7,-170.56,79.06,-75.27,275.44
281,-132.21,-172.55,67.31,-70.29,274.27
282,-145.88,-189.16,55.87,-65.68,262.08
283,-129.85,-162.55,44.93,-93.6,247.86
284,-154.55,-177.47,54.59,-92.37,243.83
285,-144.7,-180.94,48.41,-74.31,235.04
286,-136.11,-185.92,58.68,-60.87,244.77
287,-126.43,-189.63,70.98,-90.42,239.44
288,-145.66,-189.19,97.27,-96.61,237.37
289,-151.68,-203.19,105.69,-99.73,227.79
290,-163.45,-207.51,103.02,-94.71,252.73
291,-167.56,-217.28,59.53,-98.01,264.37
292,-160.7,-214.79,53.85,-109.33,259.59
293,-150.32,-200.84,76.34,-132.95,243.51
294,-149.41,-209.65,106.25,-130.68,245.06
295,-145.68,-219.52,105.66,-118.68,231.01
296,-145.16,-230.92,104.43,-100.1,227.62
297,-129.99,-218.9,91.47,-116.55,219.71
298,-144.15,-232.7,85.62,-107.13,203.76
299,-141.39,-205.41,74.95,-95.36,196.16
300,-145.26,-203.44,69.04,-98.56,207.59
301,-150.72,-196.35,79.55,-105.9,214.59
302,-164.38,-195.69,111.52,-97.78,201.23
303,-172.33,-212.36,100.3,-106.29,199.77
304,-191.55,-216.83,93.62,-113.62,220.15
305,-201.55,-224.8,66.28,-126.31,211.05
306,-192.44,-226.08,67.39,-120.91,219.9
307,-189.26,-216.72,66.94,-116.09,223.81
308,-189.53,-221.52,67.31,-123.81,223.54
309,-190.28,-216.89,72.81,-117.19,209.69
310,-195.55,-243.99,91.33,-116.93,196.35
311,-196.05,-231.08,95.53,-112.67,180.07
312,-191.86,-238.46,100.07,-114.67,188.64
313,-188.52,-216.34,86.33,-89.69,178.86
314,-205.5,-219.35,95.09,-93.7,162.14
315,-205.24,-214.92,99.36,-81.85,168.16
316,-203.45,-211.49,120.75,-70.42,173.42
317,-196.28,-221.2,106.33,-75.19,168.21
318,-207.15,-226.39,115.76,-71.96,152.18
319,-219.15,-246.9,102.17,-81.37,163.19
320,-222.09,-235.14,96.66,-88.82,167.84
321,-217.48,-219.25,89.43,-100.46,168.93
322,-208.08,-226.88,90.13,-82.78,155.72
323,-212.91,-234.02,87.03,-61.38,139.26
324,-205.31,-268.3,82.61,-73.49,151.03
325,-196.46,-261.36,84.5,-87.98,146.25
326,-192.4,-276.1,95.73,-86.32,152.34
327,-184.71,-274.51,72.18,-87.78,138.48
328,-176.43,-286.49,68.45,-89.32,151.5
329,-171.99,-264.4,71.06,-83.7,151.18
330,-186.35,-249.22,80.89,-78.96,144.02
331,-206.47,-250.56,60.81,-74.3,121.19
332,-206.62,-269.18,54.54,-60.14,123.39
333,-189.8,-267.6,48.04,-40.81,126.25
334,-195.06,-265.1,40.25,-35.82,111.74
335,-200.11,-270.27,24.29,-39.41,114.46
336,-199.24,-272.24,23.29,-37.48,117.78
337,-192.49,-284.46,23.7,-42.63,115.12
338,-184.47,-295.62,24.08,-23.47,121.9
339,-180.72,-291.33,28.23,-22.37,118.86
340,-190.74,-312.97,26.08,-22.8,106.7
341,-169.55,-311.81,23.93,-36.08,93.16
342,-158.73,-318.19,34.46,-28.65,115.18
343,-166.96,-296.05,52.54,-24.71,127.59
344,-174.86,-283.7,54.82,-17.59,117.38
345,-181.45,-286.68,48.63,-39.26,116.08
346,-192.83,-305.42,41.51,-23.16,115.06
347,-195.55,-318.43,25.51,-11.89,102.5
348,-195.07,-317.96,26.56,6.91,111.81
349,-182.28,-320.31,12.94,-44.04,131.39
350,-199.82,-318.89,18.79,-32.39,140.64
351,-191.45,-320.74,-2.44,-31.63,127.06
352,-182.01,-339.86,5.25,-18.32,131.18
353,-175.26,-346.04,17.18,-44.79,134.66
354,-204.15,-355.46,22.83,-43.97,165.98
355,-186.71,-332.34,1.24,-58.28,155.43
356,-176.64,-331.06,17.27,-66.03,169.31
357,-172.58,-309.91,5.25,-76.52,152.37
358,-188.06,-290.25,1.4,-79.36,143.79
359,-193.05,-280.77,12.34,-75.17,144.65
360,-212.73,-291.65,10.22,-53.41,142.35
361,-218.1,-276.74,-4.13,-39.6,151.79
362,-216.08,-272.74,4.46,-22.07,154.35
363,-206.65,-260.31,13.92,-34.39,172.17
364,-225.41,-265.29,36.68,-37.06,171.73
365,-214.21,-282.35,29.84,-41.25,173.36
366,-206.55,-289.89,41.12,-35.19,159.61
367,-205.7,-286.12,41.25,-35.7,157.89
368,-233.71,-296.04,60.01,-45.53,152.24
369,-212.17,-307.93,48.32,-56.64,118.41
370,-206.94,-308.81,67.4,-65.47,120.01
371,-200.49,-280.45,59.17,-65.13,110.68
372,-205.32,-263.73,64.46,-62.39,120.03
373,-207.3,-277.59,66.2,-73.14,120.3
374,-219.94,-290.79,66.26,-83.57,118.78
375,-218.14,-282.04,48.69,-59.8,112.23
376,-209.55,-266.66,48.29,-41.89,103.99
377,-194.3,-267.0,46.77,-54.12,115.55
378,-226.74,-270.32,50.17,-71.61,112.04
379,-215.06,-273.86,59.83,-65.11,104.17
380,-205.72,-276.47,45.8,-56.51,99.9
381,-188.26,-277.75,37.64,-45.56,88.25
382,-219.9,-275.59,47.97,-50.93,85.82
383,-203.28,-272.16,48.87,-56.44,73.88
384,-199.89,-294.96,55.94,-61.54,82.84
385,-185.23,-283.88,46.3,-55.82,62.2
386,-210.28,-277.58,41.78,-47.0,85.08
387,-215.6,-267.64,35.18,-59.14,101.47
388,-238.54,-274.22,54.16,-74.97,92.32
389,-243.23,-268.33,64.94,-49.66,74.51
390,-244.02,-266.84,48.21,-24.94,76.51
391,-253.95,-267.1,35.42,-18.46,78.14
392,-242.06,-253.98,47.22,-45.96,83.5
393,-218.72,-256.46,68.64,-55.29,90.46
394,-215.9,-266.17,73.18,-50.03,83.09
395,-241.74,-270.04,70.93,-47.73,81.29
396,-269.32,-282.18,73.44,-46.28,86.94
397,-244.23,-281.7,79.7,-38.2,98.74
398,-247.17,-283.31,88.62,-32.62,99.3
399,-242.6,-285.85,85.03,-23.9,77.59
400,-253.29,-299.36,74.49,0.18,88.48
401,-241.67,-268.4,58.85,15.21,90.37
402,-245.26,-255.29,72.77,12.27,115.03
403,-241.64,-254.66,105.25,14.89,100.1
404,-226.07,-278.67,97.59,11.14,98.01
405,-221.62,-279.87,74.14,10.35,94.53
406,-217.1,-272.0,76.97,21.41,104.13
407,-201.97,-256.06,78.6,30.92,113.98
408,-217.15,-262.31,95.25,19.91,124.28
409,-209.66,-253.11,93.74,19.03,146.35
410,-218.78,-263.71,106.69,26.14,158.19
411,-208.42,-269.86,97.22,26.16,165.63
412,-219.81,-270.31,106.46,4.72,160.87
413,-205.63,-256.87,131.62,19.71,178.54
414,-214.3,-258.21,131.23,41.7,201.44
415,-203.6,-224.63,124.09,59.53,200.04
416,-229.09,-191.52,124.05,38.11,188.5
417,-227.97,-170.26,139.79,25.5,174.48
418,-229.5,-194.69,144.43,12.47,177.14
419,-232.45,-194.2,156.32,10.41,165.08
420,-244.13,-191.48,152.31,0.53,158.81
421,-235.47,-175.82,145.75,4.99,160.15
422,-248.91,-173.87,149.76,-2.57,170.33
423,-234.73,-168.29,150.96,10.12,178.36
424,-249.28,-163.13,152.79,24.21,181.57
425,-242.04,-163.99,151.63,34.33,173.28
426,-248.42,-162.62,158.6,22.25,166.75
427,-233.48,-157.27,168.11,27.82,188.44
428,-241.53,-156.28,158.96,27.25,213.34
429,-248.85,-155.12,174.25,41.07,203.75
430,-264.13,-140.34,174.03,45.23,206.3
431,-252.99,-123.14,188.03,49.26,189.88
432,-259.02,-114.6,183.92,27.85,193.71
433,-265.44,-103.53,197.81,22.0,182.83
434,-277.9,-94.85,196.15,17.51,185.12
435,-269.33,-78.26,194.46,18.65,179.8
436,-276.95,-75.43,190.27,8.48,187.04
437,-271.01,-68.69,190.52,8.13,197.82
438,-286.26,-92.27,185.79,7.1,197.79
439,-266.34,-98.8,188.85,6.14,187.05
440,-288.91,-77.5,190.73,12.72,189.68
441,-285.04,-48.2,182.64,11.99,210.06
442,-293.63,-50.07,166.87,-8.39,231.26
443,-278.03,-67.1,185.99,17.36,217.08
444,-298.98,-76.55,180.94,36.49,207.62
445,-307.55,-67.69,192.19,43.89,186.78
446,-319.44,-45.88,184.15,23.0,193.97
447,-306.8,-23.98,180.54,24.37,178.45
448,-319.81,-22.25,175.95,25.51,189.02
449,-338.48,-32.79,179.13,36.76,184.02
450,-341.83,-32.82,165.76,19.94,183.12
451,-317.63,-20.71,173.52,14.84,186.05
452,-322.68,6.5,174.49,16.09,178.46
453,-323.82,15.7,162.71,10.58,167.96
454,-348.47,4.73,164.89,17.98,183.25
455,-339.92,11.9,163.57,3.58,184.54
456,-336.56,25.67,146.06,12.3,190.48
457,-331.81,36.73,151.21,18.29,202.95
458,-339.97,40.93,149.88,5.23,207.33
459,-337.03,34.49,157.55,-11.98,196.76
460,-342.88,39.53,145.89,-3.85,213.27
461,-354.74,55.33,148.51,-0.65,231.32
462,-363.45,68.37,144.25,-19.76,243.6
463,-364.34,49.79,175.22,-13.14,234.13
464,-366.41,58.9,179.18,1.53,230.64
465,-360.43,87.53,185.85,15.15,221.06
466,-367.85,115.73,182.2,9.4,227.01
467,-376.0,107.6,168.11,18.69,205.51
468,-396.23,101.34,177.29,-12.81,189.59
469,-385.2,79.57,188.01,-7.95,189.51
470,-392.73,87.66,183.65,2.71,210.39
471,-378.51,88.63,172.44,13.45,230.99
472,-394.85,97.61,163.97,24.91,232.72
473,-401.59,107.74,170.31,24.5,197.76
474,-405.63,112.58,173.73,20.7,204.12
475,-391.49,106.62,172.55,5.44,228.02
476,-377.6,96.79,149.77,5.28,233.0
477,-378.85,97.75,180.47,24.29,231.13
478,-394.71,112.73,174.98,36.56,243.15
479,-368.76,111.08,184.29,42.23,253.87
480,-372.99,124.4,149.98,27.27,240.68
481,-359.88,117.08,148.07,21.54,230.48
482,-402.6,129.54,147.68,14.15,239.4
483,-404.52,121.58,131.74,27.21,270.49
484,-399.11,151.72,106.36,25.37,281.46
485,-373.64,146.44,109.21,44.65,270.9
486,-383.18,153.05,112.42,47.36,248.09
487,-393.46,144.79,107.7,63.89,231.41
488,-401.49,135.78,110.2,59.9,250.21
489,-389.67,126.76,107.98,71.9,256.76
490,-375.31,118.93,80.86,71.12,256.89
491,-366.34,120.0,113.19,82.31,247.44
492,-378.83,104.99,119.58,90.67,260.31
493,-350.05,116.7,118.25,101.95,277.87
494,-341.25,126.77,90.06,96.05,285.51
495,-343.52,114.16,91.73,92.21,273.91
496,-364.16,95.2,92.6,81.75,267.07
497,-343.59,89.62,111.96,76.38,287.77
498,-342.59,98.87,91.78,66.6,308.94
499,-328.3,100.18,74.21,73.95,302.4
500,-345.26,86.9,81.64,56.73,287.13
501,-322.79,84.67,95.76,75.47,266.54
502,-319.9,83.33,96.65,60.57,276.85
503,-312.44,78.02,83.6,73.21,281.75
504,-312.45,71.75,79.63,49.99,288.13
505,-287.9,85.59,106.26,60.81,284.29
506,-305.58,64.09,114.78,57.77,296.94
507,-305.56,76.22,108.88,49.04,310.24
508,-310.85,88.56,107.82,32.02,316.21
509,-265.8,107.24,102.7,36.4,301.63
510,-268.79,87.95,90.6,27.43,316.7
511,-265.73,87.17,92.39,21.78,329.32
512,-253.87,86.63,102.81,13.45,352.5
513,-239.84,93.04,118.06,15.58,356.27
514,-257.44,100.62,106.59,-12.17,354.5
515,-270.86,106.54,100.87,9.51,328.81
516,-264.25,100.81,106.75,-3.46,334.19
517,-220.13,104.61,128.51,0.65,325.07
518,-210.21,105.26,127.66,-25.44,337.02
519,-209.88,120.65,142.0,-30.55,325.17
520,-231.59,105.15,135.18,-43.6,347.29
521,-225.77,116.01,132.84,-35.24,372.73
522,-224.69,145.68,146.36,-52.05,388.6
523,-213.48,164.02,151.19,-60.84,373.46
524,-203.61,140.61,154.64,-56.02,360.74
525,-192.87,137.44,146.34,-45.17,373.09
526,-190.32,135.7,147.68,-47.58,398.13
527,-174.44,141.81,152.41,-59.97,391.42
528,-175.56,130.32,161.39,-80.61,383.9
529,-181.64,123.37,145.57,-59.11,377.59
530,-191.21,123.62,143.71,-64.43,386.87
531,-180.85,124.7,137.74,-54.96,382.72
532,-179.95,121.99,128.84,-92.9,385.99
533,-176.17,115.85,145.72,-95.93,363.5
534,-201.99,110.63,139.11,-90.48,372.99
535,-203.86,118.22,149.78,-71.33,393.25
536,-205.47,140.06,147.01,-79.76,400.66
537,-183.17,150.76,144.59,-86.01,373.51
538,-190.44,135.32,143.08,-89.4,390.61
539,-185.95,138.91,143.63,-78.51,402.87
540,-186.63,144.41,132.45,-75.03,423.09
541,-167.3,144.58,124.25,-77.31,408.02
542,-166.99,126.73,136.86,-92.45,418.95
543,-166.24,135.41,139.25,-88.18,401.22
544,-184.79,128.42,147.93,-95.79,391.35
545,-187.16,122.93,134.63,-81.47,377.52
546,-176.18,126.82,121.62,-102.61,386.81
547,-155.97,124.74,127.86,-94.07,384.1
548,-168.8,120.12,132.09,-95.47,393.38
549,-159.89,134.65,125.36,-75.99,409.12
550,-163.86,148.66,111.66,-74.91,411.47
551,-155.82,157.8,107.74,-77.82,387.7
552,-163.66,143.55,111.68,-84.58,409.19
553,-147.37,155.71,113.97,-73.05,428.03
554,-147.61,142.92,111.09,-78.19,466.12
555,-146.0,173.65,97.42,-79.14,472.65
556,-142.95,159.01,99.99,-75.47,470.66
557,-134.67,172.48,117.62,-66.12,449.56
558,-141.75,162.51,114.77,-85.69,432.86
559,-130.93,163.16,110.72,-78.57,436.48
560,-117.56,173.19,107.76,-83.16,434.47
561,-104.59,185.69,103.6,-45.01,441.99
562,-123.26,179.42,93.64,-51.97,444.87
563,-123.26,163.15,99.0,-47.16,438.36
564,-129.9,165.12,97.42,-47.55,430.31
565,-109.05,188.94,105.46,-44.92,420.67
566,-139.66,183.69,99.66,-60.09,419.8
567,-118.84,155.1,101.07,-58.1,428.14
568,-121.67,153.24,103.47,-73.8,428.73
569,-119.48,180.13,114.99,-79.29,447.41
570,-112.77,197.94,118.61,-65.88,441.87
571,-125.53,174.12,150.27,-46.83,446.05
572,-121.43,180.25,138.46,-57.48,438.42
573,-96.88,171.87,142.23,-90.46,451.68
574,-93.7,183.55,119.68,-81.92,446.7
575,-85.59,200.5,118.25,-58.34,461.33
576,-83.68,188.91,119.74,-49.69,449.43
577,-51.45,179.65,121.41,-66.19,446.07
